Year,Year,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year
GapFilledSiteSpec_SiteOnly_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,SiteSpec_inbnds,Flx3,%6.3f,NaN,NEE_filled_SiteSpec_inbounds,NEE_filled_SiteSpec_inbounds,NaN,NEE_filled_SiteSpec_inbounds
GapFilledFCRN_Regional_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,FCRN_region,Flx3,%6.3f,NaN,GEP_filled_FCRN_region,GEP_filled_FCRN_region,NaN,GEP_filled_FCRN_region
GapFilledFCRN_Regional_R,umol/m2/s,RE_filled,gapfilled_NEE,FCRN_region,Flx3,%6.3f,NaN,R_filled_FCRN_region,R_filled_FCRN_region,NaN,R_filled_FCRN_region
GapFilledFCRN_Regional_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,FCRN_region,Flx3,%6.3f,NaN,NEE_filled_FCRN_region,NEE_filled_FCRN_region,NaN,NEE_filled_FCRN_region
GapFilledFCRN_SiteOnly_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,FCRN_inbnds,Flx3,%6.3f,NaN,GEP_filled_FCRN_inbounds,GEP_filled_FCRN_inbounds,NaN,GEP_filled_FCRN_inbounds
GapFilledFCRN_SiteOnly_R,umol/m2/s,RE_filled,gapfilled_NEE,FCRN_inbnds,Flx3,%6.3f,NaN,R_filled_FCRN_inbounds,R_filled_FCRN_inbounds,NaN,R_filled_FCRN_inbounds
GapFilledFCRN_SiteOnly_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,FCRN_inbnds,Flx3,%6.3f,NaN,NEE_filled_FCRN_inbounds,NEE_filled_FCRN_inbounds,NaN,NEE_filled_FCRN_inbounds
GapFilledANN_Regional_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,ANN_region,Flx3,%6.3f,NaN,GEP_filled_ANN_region,GEP_filled_ANN_region,NaN,GEP_filled_ANN_region
GapFilledANN_Regional_R,umol/m2/s,RE_filled,gapfilled_NEE,ANN_region,Flx3,%6.3f,NaN,R_filled_ANN_region,R_filled_ANN_region,NaN,R_filled_ANN_region
GapFilledANN_Regional_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,ANN_region,Flx3,%6.3f,NaN,NEE_filled_ANN_region,NEE_filled_ANN_region,NaN,NEE_filled_ANN_region
GapFilledANN_SiteOnly_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,ANN_inbnds,Flx3,%6.3f,NaN,GEP_filled_ANN_inbounds,GEP_filled_ANN_inbounds,NaN,GEP_filled_ANN_inbounds
GapFilledANN_SiteOnly_R,umol/m2/s,RE_filled,gapfilled_NEE,ANN_inbnds,Flx3,%6.3f,NaN,R_filled_ANN_inbounds,R_filled_ANN_inbounds,NaN,R_filled_ANN_inbounds
GapFilledANN_SiteOnly_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,ANN_inbnds,Flx3,%6.3f,NaN,NEE_filled_ANN_inbounds,NEE_filled_ANN_inbounds,NaN,NEE_filled_ANN_inbounds
Kljun_Regional_70flag,flag,Kljun_all70,footprint,Final_Calculated,NaN,NaN,Kljun_Regional_70flag,Kljun_Regional_70flag,Kljun_Regional_70flag,NaN,Kljun_Regional_70flag
Kljun_Regional_80flag,flag,Kljun_all80,footprint,Final_Calculated,NaN,NaN,Kljun_Regional_80flag,Kljun_Regional_80flag,Kljun_Regional_80flag,NaN,Kljun_Regional_80flag
Kljun_Regional_90flag,flag,Kljun_all90,footprint,Final_Calculated,NaN,NaN,Kljun_Regional_90flag,Kljun_Regional_90flag,Kljun_Regional_90flag,NaN,Kljun_Regional_90flag
Kljun_SiteOnly_70flag,flag,Kljun70,footprint,Final_Calculated,NaN,NaN,Kljun_SiteOnly_70flag,Kljun_SiteOnly_70flag,Kljun_SiteOnly_70flag,NaN,Kljun_SiteOnly_70flag
Kljun_SiteOnly_75flag,flag,Kljun75,footprint,Final_Calculated,NaN,NaN,Kljun_SiteOnly_75flag,Kljun_SiteOnly_75flag,Kljun_SiteOnly_75flag,NaN,Kljun_SiteOnly_75flag
Kljun_SiteOnly_80flag,flag,Kljun80,footprint,Final_Calculated,NaN,NaN,Kljun_SiteOnly_80flag,Kljun_SiteOnly_80flag,Kljun_SiteOnly_80flag,NaN,Kljun_SiteOnly_80flag
